variable,description,native_threshold,invasive_threshold,native_depth,invasive_depth,native_importance,invasive_importance,in_both,threshold_shift,shift_pct
l_TOP29,Dist. to basin outlet [min] (m),173157.5,,3.0,,0.428062,0.0,False,,
l_SOL31,Cation exchange capacity of the fine earth fraction  (< 2 mm) [mean] (cmolc/kg),14.9861,,2.0,,0.332919,0.0,False,,
l_CLI32,Mean temp. of wettest quarter [sd] (°C),0.127,,3.0,,0.32,0.0,False,,
l_TOP6,Cell minimum curvature (low up-focal-down) [max] (m⁻¹),39877.5,,3.0,,0.275,0.0,False,,
l_CLI57,Precip. seasonality (CV) [min] (kg/m²),14.35,,0.0,,0.246667,0.0,False,,
l_CLI34,Mean temp. of driest quarter [max] (°C),4.95,,1.0,,0.205602,0.0,False,,
l_TOP102,Cell upstream distance (between focal cell and next cell) [max] (–),,114.5,,0.0,0.0,0.164308,False,,
l_TOP130,"Long-term standart deviation ann. flow (FLO1K, 1980-2010) [mean] (m³/s)",,0.0381,,3.0,0.0,0.148735,False,,
l_CLI33,Mean temp. of driest quarter [min] (°C),,19.5,,2.0,0.0,0.089695,False,,
l_CLI22,Min temp. of coldest month [max] (°C),-4.4,,2.0,,0.082705,0.0,False,,
l_CLI30,Mean temp. of wettest quarter [max] (°C),,5.95,,3.0,0.0,0.082111,False,,
l_CLI9,Isothermality (bio2 / bio7) (× 100) [min] (°C),,25.6,,2.0,0.0,0.070984,False,,
l_CLI14,Temp. seasonality (SD × 100) [max] (°C/100),,598.3,,3.0,0.0,0.059562,False,,
l_CLI37,Mean temp. of warmest quarter [min] (°C),,16.2,,1.0,0.0,0.054631,False,,
u_TOP114,Distance to outlet (distance of current stream init from outlet) (m),492810.1094,,2.0,,0.044886,0.0,False,,
l_CLI41,Mean temp. of coldest quarter [min] (°C),,6.7,,3.0,0.0,0.040687,False,,
l_CLI1,Ann. mean air temp. [min] (°C),,16.1,,3.0,0.0,0.028219,False,,
